合约代码,更新时间,最新价,今开盘,最高价,成交量,本次结算价,买价一,买量一,买价2,买量2,卖价一,卖量一,持仓量,换手率
cu1811,10:53:34.0,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,2,25256,2.96122e+08
cu1811,10:54:17.500,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,1,25256,2.96122e+08
cu1811,10:54:20.0,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,1,25256,2.96122e+08
cu1811,10:55:07.0,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,3,25256,2.96122e+08
cu1811,10:55:07.500,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,4,25256,2.96122e+08
cu1811,10:55:10.500,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,4,25256,2.96122e+08
cu1811,10:55:11.500,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53760,4,25256,2.96122e+08
cu1811,10:55:15.0,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53750,1,25256,2.96122e+08
cu1811,10:55:15.500,53730,53960,54010,1102,1.79769e+308,53730,1,1.79769e+308,0,53750,1,25256,2.96122e+08
cu1811,10:55:28.0,53730,53960,54010,1104,1.79769e+308,53670,4,1.79769e+308,0,53750,1,25256,2.96659e+08
cu1811,10:55:28.500,53730,53960,54010,1104,1.79769e+308,53680,11,1.79769e+308,0,53760,2,25256,2.96659e+08
cu1811,10:55:29.0,53730,53960,54010,1104,1.79769e+308,53690,1,1.79769e+308,0,53760,2,25256,2.96659e+08
cu1811,10:55:29.500,53730,53960,54010,1104,1.79769e+308,53700,5,1.79769e+308,0,53760,3,25256,2.96659e+08
cu1811,10:55:30.0,53730,53960,54010,1104,1.79769e+308,53710,2,1.79769e+308,0,53760,3,25256,2.96659e+08
cu1811,10:55:30.500,53730,53960,54010,1104,1.79769e+308,53710,2,1.79769e+308,0,53760,3,25256,2.96659e+08
cu1811,10:55:49.0,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53760,3,25256,2.96659e+08
cu1811,10:55:49.500,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53750,1,25256,2.96659e+08
cu1811,10:55:50.500,53730,53960,54010,1104,1.79769e+308,53690,1,1.79769e+308,0,53740,1,25256,2.96659e+08
cu1811,10:55:51.0,53730,53960,54010,1104,1.79769e+308,53700,6,1.79769e+308,0,53750,3,25256,2.96659e+08
cu1811,10:55:52.0,53730,53960,54010,1104,1.79769e+308,53700,3,1.79769e+308,0,53750,4,25256,2.96659e+08
cu1811,10:55:52.500,53730,53960,54010,1104,1.79769e+308,53700,3,1.79769e+308,0,53750,3,25256,2.96659e+08
cu1811,10:55:54.0,53730,53960,54010,1104,1.79769e+308,53700,3,1.79769e+308,0,53750,3,25256,2.96659e+08
cu1811,10:55:57.500,53730,53960,54010,1104,1.79769e+308,53700,3,1.79769e+308,0,53750,1,25256,2.96659e+08
cu1811,10:55:58.500,53730,53960,54010,1104,1.79769e+308,53700,3,1.79769e+308,0,53760,3,25256,2.96659e+08
cu1811,10:55:59.0,53730,53960,54010,1104,1.79769e+308,53700,3,1.79769e+308,0,53760,6,25256,2.96659e+08
cu1811,10:56:08.0,53730,53960,54010,1104,1.79769e+308,53700,6,1.79769e+308,0,53760,6,25256,2.96659e+08
cu1811,10:56:09.500,53730,53960,54010,1104,1.79769e+308,53700,6,1.79769e+308,0,53760,4,25256,2.96659e+08
cu1811,10:56:11.500,53730,53960,54010,1104,1.79769e+308,53700,6,1.79769e+308,0,53760,4,25256,2.96659e+08
cu1811,10:56:28.500,53730,53960,54010,1104,1.79769e+308,53700,6,1.79769e+308,0,53760,4,25256,2.96659e+08
cu1811,10:56:29.500,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53760,4,25256,2.96659e+08
cu1811,10:56:30.500,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53750,1,25256,2.96659e+08
cu1811,10:56:38.500,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53750,1,25256,2.96659e+08
cu1811,10:56:49.500,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53750,1,25256,2.96659e+08
cu1811,10:57:52.0,53730,53960,54010,1104,1.79769e+308,53720,1,1.79769e+308,0,53750,4,25256,2.96659e+08
cu1811,10:58:04.0,53730,53960,54010,1104,1.79769e+308,53680,2,1.79769e+308,0,53750,4,25256,2.96659e+08
cu1811,10:58:04.500,53730,53960,54010,1104,1.79769e+308,53690,7,1.79769e+308,0,53750,3,25256,2.96659e+08
cu1811,10:58:05.0,53730,53960,54010,1104,1.79769e+308,53690,4,1.79769e+308,0,53750,3,25256,2.96659e+08
cu1811,10:58:22.500,53730,53960,54010,1104,1.79769e+308,53690,4,1.79769e+308,0,53750,5,25256,2.96659e+08
cu1811,10:58:26.0,53730,53960,54010,1104,1.79769e+308,53690,4,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:58:26.500,53730,53960,54010,1104,1.79769e+308,53690,4,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:58:45.500,53730,53960,54010,1104,1.79769e+308,53690,4,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:58:49.500,53730,53960,54010,1104,1.79769e+308,53690,4,1.79769e+308,0,53730,1,25256,2.96659e+08
cu1811,10:58:54.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53730,1,25256,2.96659e+08
cu1811,10:58:56.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:58:59.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:00.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:00.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:01.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,6,25256,2.96659e+08
cu1811,10:59:02.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:04.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:05.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:12.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,5,25256,2.96659e+08
cu1811,10:59:13.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:19.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:29.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:30.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:34.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,11:00:50.0,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,5,25256,2.96659e+08
cu1811,11:00:50.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:00:56.0,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:01:06.0,53730,53960,54010,1104,1.79769e+308,53690,7,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:01:15.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:01:16.0,53730,53960,54010,1104,1.79769e+308,53690,7,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:02:04.0,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
